t,flux
0.00000,99.00000
0.10256,100.00000
0.20513,100.00000
0.30769,100.00000
0.41026,100.00000
0.51282,100.00000
0.61538,100.00000
0.71795,100.00000
0.82051,100.00000
0.92308,100.00000
1.02564,100.00000
1.12821,100.00000
1.23077,100.00000
1.33333,100.00000
1.43590,100.00000
1.53846,100.00000
1.64103,100.00000
1.74359,99.31317
1.84615,99.25046
1.94872,99.24063
2.05128,99.24063
2.15385,99.25046
2.25641,99.31317
2.35897,100.00000
2.46154,100.00000
2.56410,100.00000
2.66667,100.00000
2.76923,100.00000
2.87179,100.00000
2.97436,100.00000
3.07692,100.00000
3.17949,100.00000
3.28205,100.00000
3.38462,100.00000
3.48718,100.00000
3.58974,100.00000
3.69231,100.00000
3.79487,100.00000
3.89744,100.00000
4.00000,100.00000
